A;T;H;D;U g (%);U v (%);P;Ea;C;EC;O;Ps;ECT;OS;Ds
NC;C1;0-20;0,93;17.95%;16.61%;0,6507;48.46%;2.69%;49,85;B;;49.85;;0.93
NC;C1;20-40;0,98;18.29%;17.89%;0,6309;45.21%;1.24%;24,18;C;;24.18;;0.98
NC;C1;40-60;0,8;20.39%;16.32%;0,6979;53.47%;2.72%;43,61;D;;43.61;;0.8
NC;C1;60-80;0,84;20.82%;17.45%;0,6837;50.93%;0.76%;12,72;E;;12.72;;0.84
NC;C1;80-100;1,03;21.27%;21.97%;0,6103;39.06%;0.88%;18,13;F;;18.13;;1.03
NC;C1;MS;;;;;;48%;8,03;A;1673,68;8.03;1673.68;
NC;C10;0-20;0,91;24.95%;22.81%;0,6549;42.68%;2.76%;50,48;B;;50.48;0;0.91
NC;C10;20-40;0,91;24.52%;22.19%;0,6584;43.65%;1.28%;23,21;C;;23.21;0;0.91
NC;C10;40-60;1;24.10%;24.13%;0,6222;38.09%;2.72%;54,38;D;;54.38;0;1
NC;C10;MS;;;;;;49%;7,13;A;1453,14;7.13;1453.14;
NC;C2;0-20;0,76;25.11%;19.13%;0,7125;52.12%;1.84%;27,99;B;;27.99;0;0.76
NC;C2;20-40;0,83;24.49%;20.23%;0,6882;48.59%;1.94%;31,97;C;;31.97;0;0.83
NC;C2;40-60;0,85;24.27%;20.73%;0,6777;47.03%;2.48%;42,37;D;;42.37;0;0.85
NC;C2;MS;;;;;;47%;9,55;A;2014,52;9.55;2014.52;
NC;C3;0-20;0,84;37.84%;31.82%;0,6826;36.44%;1.66%;27,99;B;;27.99;0;0.84
NC;C3;20-40;0,75;32.77%;24.63%;0,7164;47.01%;2.11%;31,7;C;;31.7;0;0.75
NC;C3;40-60;0,95;33.14%;31.54%;0,6408;32.53%;1.59%;30,31;D;;30.31;0;0.95
NC;C3;MS;;;;;;46%;11,59;A;2507,84;11.59;2507.84;
NC;C4;0-20;0,86;17.93%;15.37%;0,6766;52.30%;2.18%;37,43;B;;37.43;0;0.86
NC;C4;20-40;0,94;14.81%;13.98%;0,6438;50.41%;1.30%;24,45;C;;24.45;0;0.94
NC;C4;40-60;0,95;20.88%;19.77%;0,6427;44.51%;1.32%;25,07;D;;25.07;0;0.95
NC;C4;60-80;0,96;21.88%;21.01%;0,6376;42.75%;1.17%;22,43;E;;22.43;0;0.96
NC;C4;80-100;0,91;21.16%;19.36%;0,6548;46.13%;0.85%;15,51;F;;15.51;0;0.91
NC;C4;MS;;;;;;47%;5,1;A;1090,68;5.1;1090.68;
NC;C5;0-20;0,76;34.40%;26.19%;0,7127;45.08%;4.17%;63,53;B;;63.53;0;0.76
NC;C5;20-40;0,88;33.09%;29.17%;0,6673;37.56%;1.91%;33,61;C;;33.61;0;0.88
NC;C5;40-60;0,98;32.43%;31.72%;0,6309;31.38%;1.50%;29,38;D;;29.38;0;0.98
NC;C5;MS;;;;;;49%;10,26;A;2075,44;10.26;2075.44;
NC;C6;0-20;0,67;28.30%;18.93%;0,7475;55.82%;5.18%;69,29;B;;69.29;0;0.67
NC;C6;20-40;0,85;25.88%;22.02%;0,6789;45.87%;2.44%;41,54;C;;41.54;0;0.85
NC;C6;40-60;0,85;24.42%;20.73%;0,6796;47.23%;1.55%;26,28;D;;26.28;0;0.85
NC;C6;MS;;;;;;48%;9,11;A;1918,68;9.11;1918.68;
NC;C7;0-20;0,86;23.50%;20.20%;0,6755;47.35%;2.13%;36,7;B;;36.7;0;0.86
NC;C7;20-40;0,94;24.92%;23.52%;0,6438;40.87%;1.74%;32,79;C;;32.79;0;0.94
NC;C7;40-60;0,93;25.11%;23.34%;0,6492;41.58%;1.67%;30,99;D;;30.99;0;0.93
NC;C7;60-80;0,92;26.85%;24.81%;0,6513;40.31%;1.08%;19,87;E;;19.87;0;0.92
NC;C7;80-100;0,87;27.09%;23.49%;0,6728;43.79%;0.98%;16,92;F;;16.92;0;0.87
NC;C7;MS;;;;;;46%;3,42;A;742,66;3.42;742.66;
NC;C8;0-20;0,67;26.95%;17.98%;0,7482;56.84%;2.45%;32,63;B;;32.63;0;0.67
NC;C8;20-40;0,82;25.47%;20.89%;0,6905;48.16%;0.85%;13,91;C;;13.91;0;0.82
NC;C8;40-60;0,89;25.46%;22.66%;0,6642;43.76%;1.67%;29,74;D;;29.74;0;0.89
NC;C8;MS;;;;;;49%;6,16;A;1268,32;6.16;1268.32;
NC;C9;0-20;0,83;27.24%;22.66%;0,6861;45.96%;2.37%;39,49;B;;39.49;0;0.83
NC;C9;20-40;0,88;25.20%;22.14%;0,6685;44.71%;1.22%;21,45;C;;21.45;0;0.88
NC;C9;40-60;0,9;24.81%;22.42%;0,659;43.48%;1.48%;26,8;D;;26.8;0;0.9
NC;C9;MS;;;;;;47%;5,97;A;1263,72;5.97;1263.72;
CSP;A1;0-20;0,8;27.85%;22.27%;0,6982;47.55%;3.23%;51,72;B;;51.72;0;0.8
CSP;A1;20-40;0,84;31.18%;26.21%;0,6829;42.08%;1.91%;32,08;C;;32.08;0;0.84
CSP;A1;40-60;0,79;31.84%;25.13%;0,7021;45.08%;1.20%;18,87;D;;18.87;0;0.79
CSP;A1;60-80;0,81;31.20%;25.41%;0,6927;43.86%;1.18%;19,28;E;;19.28;0;0.81
CSP;A1;80-100;0,83;29.51%;24.60%;0,6854;43.94%;2.78%;46,35;F;;46.35;0;0.83
CSP;A1;MS;;;;;;50%;3,83;A;765,7;3.83;765.7;
CSP;A10;0-20;0,88;27.79%;24.46%;0,6679;42.33%;2.60%;45,73;B;;45.73;0;0.88
CSP;A10;20-40;0,95;31.62%;29.99%;0,642;34.21%;1.95%;36,96;C;;36.96;0;0.95
CSP;A10;40-60;0,85;31.54%;26.82%;0,6791;41.10%;1.31%;22,21;D;;22.21;0;0.85
CSP;A10;60-80;0,92;31.48%;28.86%;0,6541;36.56%;1.45%;26,54;E;;26.54;0;0.92
CSP;A10;80-100;0,93;29.90%;27.81%;0,649;37.10%;0.89%;16,63;F;;16.63;0;0.93
CSP;A10;MS;;;;;;39%;4,22;A;1075,24;4.22;1075.24;
CSP;A2;0-20;0,94;30.94%;29.16%;0,6444;35.28%;5.60%;105,51;B;;105.51;0;0.94
CSP;A2;20-40;0,95;32.38%;30.67%;0,6426;33.59%;2.43%;46,07;C;;46.07;0;0.95
CSP;A2;40-60;0,88;32.25%;28.51%;0,6664;38.13%;2.54%;44,82;D;;44.82;0;0.88
CSP;A2;MS;;;;;;46%;2,05;A;441,3;2.05;441.3;
CSP;A3;0-20;1,09;24.84%;26.97%;0,5902;32.05%;2.31%;50,17;B;;50.17;0;1.09
CSP;A3;20-40;0,98;25.81%;25.21%;0,6314;37.93%;2.09%;40,75;C;;40.75;0;0.98
CSP;A3;40-60;0,88;25.83%;22.79%;0,6671;43.93%;1.17%;20,55;D;;20.55;0;0.88
CSP;A3;MS;;;;;;46%;1,71;A;370,04;1.71;370.04;
CSP;A4;0-20;0,85;25.30%;21.49%;0,6795;46.46%;1.50%;25,53;B;;25.53;0;0.85
CSP;A4;20-40;0,87;26.38%;22.87%;0,6729;44.43%;1.75%;30,39;C;;30.39;0;0.87
CSP;A4;40-60;0,94;26.10%;24.51%;0,6456;40.05%;2.53%;47,52;D;;47.52;0;0.94
CSP;A4;MS;;;;;;45%;3,92;A;880,38;3.92;880.38;
CSP;A5;0-20;1,14;20.46%;23.28%;0,5706;33.79%;2.37%;53,89;B;;53.89;0;1.14
CSP;A5;20-40;0,9;25.11%;22.56%;0,6609;43.53%;2.43%;43,58;C;;43.58;0;0.9
CSP;A5;40-60;0,89;27.20%;24.28%;0,6631;42.03%;1.02%;18,28;D;;18.28;0;0.89
CSP;A5;60-80;0,87;27.63%;24.18%;0,6698;42.81%;0.71%;12,48;E;;12.48;0;0.87
CSP;A5;80-100;0,9;27.31%;24.63%;0,6596;41.33%;2.89%;52,17;F;;52.17;0;0.9
CSP;A5;MS;;;;;;45%;1,91;A;423,48;1.91;423.48;
CSP;A6;0-20;0,87;23.04%;19.94%;0,6734;47.40%;1.87%;32,35;B;;32.35;0;0.87
CSP;A6;20-40;0,92;24.82%;22.77%;0,6537;42.59%;1.53%;28,1;C;;28.1;0;0.92
CSP;A6;40-60;1;24.92%;24.93%;0,6225;37.32%;1.46%;29,25;D;;29.25;0;1
CSP;A6;MS;;;;;;47%;6,39;A;1362,62;6.39;1362.62;
CSP;A7;0-20;1,04;23.37%;24.32%;0,6072;36.40%;0.86%;17,92;B;;17.92;0;1.04
CSP;A7;20-40;1,01;24.63%;24.87%;0,619;37.03%;1.75%;35,28;C;;35.28;0;1.01
CSP;A7;40-60;0,99;25.14%;24.95%;0,6255;37.61%;2.05%;40,63;D;;40.63;0;0.99
CSP;A7;MS;;;;;;35%;1,19;A;340,76;1.19;340.76;
CSP;A8;0-20;1,04;24.52%;25.58%;0,6063;35.05%;1.29%;26,94;B;;26.94;0;1.04
CSP;A8;20-40;0,87;25.19%;21.83%;0,6729;45.45%;2.61%;45,28;C;;45.28;0;0.87
CSP;A8;40-60;0,92;25.53%;23.45%;0,6534;41.89%;1.22%;22,34;D;;22.34;0;0.92
CSP;A8;MS;;;;;;46%;3,49;A;764,82;3.49;764.82;
CSP;A9;0-20;0,92;23.97%;22.15%;0,6513;42.98%;2.68%;49,57;B;;49.57;0;0.92
CSP;A9;20-40;0,81;26.10%;21.13%;0,6945;48.32%;1.82%;29,42;C;;29.42;0;0.81
CSP;A9;40-60;0,84;26.06%;21.89%;0,683;46.42%;2.37%;39,78;D;;39.78;0;0.84
CSP;A9;MS;;;;;;46%;2,45;A;535,02;2.45;535.02;
FSP;P11;0-20;0,86;27.39%;23.48%;0,6765;44.18%;1.42%;24,33;B;;24.33;0;0.86
FSP;P11;20-40;0,8;28.04%;22.46%;0,6977;47.32%;2.18%;34,86;C;;34.86;0;0.8
FSP;P11;40-60;0,8;27.72%;22.28%;0,6967;47.38%;1.64%;26,32;D;;26.32;0;0.8
FSP;P11;MS;;;;;;40%;2,41;A;609,8;2.41;609.8;
FSP;P15;0-20;0,87;26.36%;22.97%;0,6712;44.15%;3.04%;53,03;B;;53.03;0;0.87
FSP;P15;20-40;0,8;27.00%;21.61%;0,698;48.19%;2.23%;35,66;C;;35.66;0;0.8
FSP;P15;40-60;0,88;26.75%;23.49%;0,6687;43.38%;2.47%;43,35;D;;43.35;0;0.88
FSP;P15;MS;;;;;;48%;4,32;A;894,86;4.32;894.86;
FSP;P17;0-20;0,98;29.47%;28.78%;0,6315;34.38%;2.57%;50,27;B;;50.27;0;0.98
FSP;P17;20-40;0,73;31.95%;23.18%;0,7261;49.43%;3.25%;47,2;C;;47.2;0;0.73
FSP;P17;40-60;0,93;31.92%;29.74%;0,6483;35.09%;1.33%;24,73;D;;24.73;0;0.93
FSP;P17;60-80;0,84;32.93%;27.68%;0,6829;40.61%;1.25%;21,04;E;;21.04;0;0.84
FSP;P17;80-100;1,07;33.44%;35.77%;0,5963;23.86%;1.12%;24;F;;24;0;1.07
FSP;P17;MS;;;;;;47%;6,02;A;1292,66;6.02;1292.66;
FSP;P19;0-20;0,94;24.74%;23.25%;0,6454;41.29%;2.60%;48,85;B;;48.85;0;0.94
FSP;P19;20-40;0,96;26.50%;25.40%;0,6384;38.44%;0.85%;16,25;C;;16.25;0;0.96
FSP;P19;40-60;1,15;26.08%;29.99%;0,566;26.61%;1.51%;34,66;D;;34.66;0;1.15
FSP;P19;MS;;;;;;47%;3,23;A;689,14;3.23;689.14;
FSP;P22;0-20;0,75;32.16%;24.01%;0,7183;47.82%;2.43%;36,21;B;;36.21;0;0.75
FSP;P22;20-40;0,95;34.45%;32.82%;0,6405;31.23%;1.69%;32,28;C;;32.28;0;0.95
FSP;P22;40-60;0,95;34.48%;32.62%;0,643;31.68%;1.56%;29,54;D;;29.54;0;0.95
FSP;P22;MS;;;;;;47%;4,09;A;864,14;4.09;864.14;
FSP;P23;0-20;0,87;26.87%;23.37%;0,6718;43.81%;2.29%;39,8;B;;39.8;0;0.87
FSP;P23;20-40;0,9;29.43%;26.35%;0,6621;39.86%;2.16%;38,67;C;;38.67;0;0.9
FSP;P23;40-60;0,91;30.33%;27.48%;0,6582;38.34%;1.10%;19,93;D;;19.93;0;0.91
FSP;P23;60-80;0,96;30.54%;29.43%;0,6364;34.22%;1.13%;21,81;E;;21.81;0;0.96
FSP;P23;80-100;0,98;31.20%;30.58%;0,6301;32.44%;1.59%;31,23;F;;31.23;0;0.98
FSP;P23;MS;;;;;;48%;4,27;A;885,14;4.27;885.14;
FSP;P25;0-20;0,87;29.82%;26.01%;0,6709;41.08%;0.79%;13,75;B;;13.75;0;0.87
FSP;P25;20-40;0,85;31.34%;26.75%;0,6779;41.04%;1.71%;29,21;C;;29.21;0;0.85
FSP;P25;40-60;0,77;32.43%;25.09%;0,708;45.71%;1.14%;17,64;D;;17.64;0;0.77
FSP;P25;60-80;0,87;32.23%;27.93%;0,673;39.38%;1.08%;18,68;E;;18.68;0;0.87
FSP;P25;80-100;1,11;32.92%;36.63%;0,5801;21.38%;1.06%;23,59;F;;23.59;0;1.11
FSP;P25;MS;;;;;;46%;4,69;A;1013,86;4.69;1013.86;
FSP;P27;0-20;0,86;25.16%;21.58%;0,6763;46.05%;2.60%;44,64;B;;44.64;0;0.86
FSP;P27;20-40;0,89;25.47%;22.63%;0,6648;43.85%;2.09%;37,1;C;;37.1;0;0.89
FSP;P27;40-60;1,05;25.27%;26.42%;0,6054;34.13%;1.95%;40,82;D;;40.82;0;1.05
FSP;P27;MS;;;;;;43%;3,6;A;830,1;3.6;830.1;
FSP;P28;0-20;1,05;31.35%;32.80%;0,6052;27.72%;3.18%;66,58;B;;66.58;0;1.05
FSP;P28;20-40;0,9;31.82%;28.72%;0,6594;37.22%;1.65%;29,8;C;;29.8;0;0.9
FSP;P28;40-60;0,93;34.11%;31.66%;0,6497;33.30%;1.00%;18,59;D;;18.59;0;0.93
FSP;P28;MS;;;;;;43%;3,47;A;800,62;3.47;800.62;
FSP;P29;0-20;0,86;31.50%;27.05%;0,6759;40.54%;1.26%;21,56;B;;21.56;0;0.86
FSP;P29;20-40;0,93;32.55%;30.19%;0,65;34.81%;2.26%;41,83;C;;41.83;0;0.93
FSP;P29;40-60;0,89;34.40%;30.59%;0,6644;35.85%;2.25%;40,04;D;;40.04;0;0.89
FSP;P29;MS;;;;;;44%;2,74;A;627,78;2.74;627.78;
